"OTU","Bin"
"OTU3036",9
"OTU2128",9
"OTU2630",9
"OTU2555",9
"OTU3023",9
"OTU1443",9
"OTU2540",9
"OTU2437",9
"OTU2985",9
"OTU1934",9
"OTU314",9
"OTU2752",9
"OTU2835",9
"OTU840",9
"OTU910",9
"OTU2554",9
"OTU2813",9
"OTU3162",9
"OTU74",9
"OTU2094",9
"OTU2967",9
"OTU335",10
"OTU2656",10
"OTU2286",10
"OTU1262",10
"OTU952",10
"OTU2423",10
"OTU1078",10
"OTU2982",10
"OTU513",10
"OTU97",10
"OTU347",10
"OTU336",10
"OTU365",10
"OTU28",10
"OTU680",10
"OTU385",10
"OTU463",10
"OTU402",10
"OTU2358",10
"OTU99",10
"OTU3042",10
"OTU2471",10
"OTU197",10
"OTU962",10
"OTU2248",10
"OTU41",10
"OTU236",10
"OTU397",10
"OTU1131",11
"OTU683",11
"OTU864",11
"OTU2788",11
"OTU2263",11
"OTU727",11
"OTU2552",11
"OTU2606",11
"OTU858",11
"OTU1339",11
"OTU941",11
"OTU1258",11
"OTU2663",11
"OTU640",11
"OTU1371",11
"OTU669",11
"OTU2269",11
"OTU1367",11
"OTU2581",11
"OTU155",11
"OTU1052",11
"OTU453",11
"OTU597",11
"OTU326",11
"OTU214",11
"OTU248",11
"OTU166",11
"OTU2849",11
"OTU2164",11
"OTU273",11
"OTU196",11
"OTU208",11
"OTU360",11
"OTU137",11
"OTU113",11
"OTU605",11
"OTU8",11
"OTU2350",11
"OTU591",11
"OTU2836",11
"OTU238",11
"OTU25",11
"OTU323",11
"OTU1153",12
"OTU3048",12
"OTU141",12
"OTU1098",12
"OTU1552",12
"OTU2431",12
"OTU2634",12
"OTU1834",12
"OTU2329",12
"OTU1875",12
"OTU1555",12
"OTU1769",12
"OTU2802",12
"OTU1525",12
"OTU1755",12
"OTU1588",12
"OTU1585",12
"OTU1739",12
"OTU2385",12
"OTU1421",12
"OTU2672",12
"OTU2562",12
"OTU723",12
"OTU2296",12
"OTU2121",13
"OTU421",13
"OTU424",13
"OTU465",13
"OTU2476",13
"OTU2250",13
"OTU619",13
"OTU1347",13
"OTU2593",13
"OTU2382",13
"OTU2589",13
"OTU803",13
"OTU1406",13
"OTU2362",13
"OTU2740",13
"OTU1046",13
"OTU462",13
"OTU75",13
"OTU2702",13
"OTU308",13
"OTU1427",13
"OTU1242",13
"OTU1382",13
"OTU509",13
"OTU703",13
"OTU829",13
"OTU2718",13
"OTU1385",14
"OTU810",14
"OTU410",14
"OTU722",14
"OTU2743",14
"OTU2706",14
"OTU920",14
"OTU923",14
"OTU150",14
"OTU2561",14
"OTU2456",14
"OTU2645",14
"OTU1550",14
"OTU1557",14
"OTU523",14
"OTU771",14
"OTU1085",14
"OTU2666",14
"OTU20",14
"OTU2591",14
"OTU2316",14
"OTU2681",14
"OTU2264",14
"OTU2474",14
"OTU2732",14
"OTU2272",14
"OTU2771",14
"OTU2313",14
"OTU1266",14
"OTU2584",14
"OTU2674",14
"OTU2599",14
"OTU1121",14
"OTU2453",14
"OTU1062",14
"OTU2495",14
"OTU2954",14
"OTU2117",14
"OTU2647",14
"OTU620",14
"OTU2989",14
"OTU1283",14
"OTU260",15
"OTU230",15
"OTU127",15
"OTU835",15
"OTU2233",15
"OTU2199",15
"OTU454",15
"OTU459",15
"OTU922",15
"OTU429",15
"OTU125",15
"OTU493",15
"OTU1295",15
"OTU765",15
"OTU831",15
"OTU389",15
"OTU1190",15
"OTU1394",15
"OTU842",15
"OTU2475",15
"OTU2640",15
"OTU2658",15
"OTU2676",15
"OTU2621",15
"OTU2221",15
"OTU2920",15
"OTU1151",15
"OTU2858",15
"OTU1477",15
"OTU2383",15
"OTU581",15
"OTU2274",15
"OTU221",15
"OTU2331",15
"OTU898",15
"OTU2326",15
"OTU1255",15
"OTU603",15
"OTU2496",15
"OTU2381",15
"OTU305",15
"OTU2340",15
"OTU1216",15
"OTU2278",15
"OTU2610",15
"OTU676",15
"OTU967",15
"OTU1378",15
"OTU2417",15
"OTU2415",15
"OTU1368",15
"OTU2143",15
"OTU2373",15
"OTU2626",15
"OTU1200",16
"OTU1241",16
"OTU2459",16
"OTU2422",16
"OTU2482",16
"OTU637",16
"OTU2267",16
"OTU528",16
"OTU2617",16
"OTU131",16
"OTU179",16
"OTU2624",16
"OTU2590",16
"OTU764",16
"OTU1076",16
"OTU1410",16
"OTU2305",16
"OTU624",16
"OTU987",16
"OTU2287",16
"OTU2733",16
"OTU2258",16
"OTU2558",16
"OTU2412",16
"OTU2505",16
"OTU2679",17
"OTU2288",17
"OTU2414",17
"OTU2605",17
"OTU417",17
"OTU1593",17
"OTU2158",17
"OTU2690",17
"OTU2367",17
"OTU1056",17
"OTU1070",17
"OTU894",17
"OTU1165",17
"OTU2277",17
"OTU3031",17
"OTU1236",17
"OTU3010",17
"OTU1050",17
"OTU1733",17
"OTU1435",17
"OTU2693",17
"OTU670",17
"OTU2461",17
"OTU2536",17
"OTU1413",17
"OTU1353",17
"OTU433",17
"OTU1298",17
"OTU2507",17
"OTU2498",17
"OTU870",17
"OTU2594",18
"OTU892",18
"OTU229",18
"OTU2795",18
"OTU1359",18
"OTU3000",18
"OTU1558",18
"OTU1961",18
"OTU2190",18
"OTU140",18
"OTU949",18
"OTU1903",18
"OTU2207",18
"OTU933",18
"OTU3090",18
"OTU1664",18
"OTU2627",18
"OTU1034",18
"OTU1303",18
"OTU1345",18
"OTU1315",18
"OTU1094",18
"OTU3012",18
"OTU1079",18
"OTU602",18
"OTU2913",18
"OTU1987",18
"OTU890",18
"OTU988",18
"OTU1150",18
"OTU1342",18
"OTU1248",18
"OTU3299",18
"OTU1618",18
"OTU2564",18
"OTU416",18
"OTU1038",18
"OTU767",18
"OTU1596",18
"OTU185",18
"OTU806",18
"OTU3189",18
"OTU1943",18
"OTU1325",18
"OTU747",18
"OTU1047",18
"OTU1681",18
"OTU1099",18
"OTU2546",18
"OTU2310",18
"OTU1683",18
"OTU1310",18
"OTU1356",18
"OTU2295",18
"OTU661",18
"OTU906",18
"OTU1765",18
"OTU287",18
"OTU278",18
"OTU2950",18
"OTU3070",18
"OTU3082",19
"OTU102",19
"OTU2712",19
"OTU1246",19
"OTU2825",19
"OTU1741",19
"OTU1924",19
"OTU2814",19
"OTU1828",19
"OTU3019",19
"OTU2956",19
"OTU3029",19
"OTU673",19
"OTU96",19
"OTU2959",19
"OTU1962",19
"OTU2028",19
"OTU1914",19
"OTU2859",19
"OTU1656",19
"OTU2935",19
"OTU1936",19
"OTU3103",19
"OTU1777",19
"OTU3159",19
"OTU1939",19
"OTU1671",19
"OTU1845",19
"OTU3101",19
"OTU2895",19
"OTU3132",19
"OTU2981",19
"OTU3016",19
"OTU82",19
"OTU1799",19
"OTU1812",19
"OTU1455",19
"OTU1784",19
"OTU1781",19
"OTU3198",19
"OTU2",19
"OTU263",19
"OTU1631",19
"OTU2686",19
"OTU2798",19
"OTU4",19
"OTU2123",20
"OTU2438",20
"OTU1043",20
"OTU2535",20
"OTU1092",20
"OTU1127",20
"OTU1386",20
"OTU1119",20
"OTU14",20
"OTU2879",20
"OTU732",20
"OTU1230",20
"OTU832",20
